TickerName,Date,Estimate,Reported,SurpriseP,Group
LLY,2020-10-27,1.76,1.54,-12.5,Miss
TNDM,2020-11-05,-0.08,-0.09,-12.5,Miss
PCG,2020-10-29,0.25,0.22,-12,Miss
WTRG,2020-11-03,0.26,0.23,-11.5,Miss
SRE,2020-11-05,1.47,1.31,-10.8,Miss
DPZ,2020-10-08,2.75,2.49,-9.4,Miss
WEX,2020-10-29,1.75,1.59,-9.1,Miss
NRZ,2020-10-26,0.34,0.31,-8.8,Miss
SPG,2020-11-09,2.25,2.05,-8.8,Miss
CHH,2020-11-05,0.72,0.66,-8.3,Miss
REG,2020-11-05,0.75,0.69,-8,Miss
VNO,2020-11-02,0.64,0.59,-7.8,Miss
ESRT,2020-10-28,0.13,0.12,-7.6,Miss
UNM,2020-10-27,1.31,1.21,-7.6,Miss
SEIC,2020-10-21,0.81,0.75,-7.4,Miss
CB,2020-10-27,2.16,2,-7.4,Miss
UAL,2020-10-14,-7.63,-8.16,-6.9,Miss
DEI,2020-11-02,0.43,0.4,-6.9,Miss
AXP,2020-10-23,1.39,1.3,-6.4,Miss
JBHT,2020-10-16,1.26,1.18,-6.3,Miss
CIEN,2020-12-10,0.64,0.6,-6.2,Miss
PPD,2020-10-27,0.32,0.3,-6.2,Miss
EQR,2020-10-27,0.82,0.77,-6.1,Miss
NNN,2020-11-02,0.66,0.62,-6,Miss
NTRS,2020-10-21,1.4,1.32,-5.7,Miss
SBNY,2020-10-20,2.78,2.62,-5.7,Miss
PXD,2020-11-04,0.18,0.17,-5.5,Miss
MSP,2020-11-23,0.19,0.18,-5.2,Miss
DAL,2020-10-13,-3.14,-3.3,-5.1,Miss
BRX,2020-11-04,0.4,0.38,-5,Miss
PPL,2020-11-05,0.61,0.58,-4.9,Miss
NCLH,2020-11-09,-2.24,-2.35,-4.9,Miss
CINF,2020-10-26,0.41,0.39,-4.8,Miss
AVB,2020-10-28,2.16,2.06,-4.6,Miss
